match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,venue_id,umpire1,umpire2
2017_43,2017,Hyderabad,06/05/17,RPS,SRH,SRH,field,normal,0,RPS,12,0,Jaydev Unadkat,"Rajiv Gandhi International Stadium, Hyderabad",4,KN Ananthapadmanabhan,AK Chaudhary
2017_44,2017,Delhi,06/05/17,MI,DD,DD,field,normal,0,MI,146,0,Lendl Simmons,"Feroz Shah Kotla Stadium, Delhi",2,Nitin Menon,CK Nandan
2017_45,2017,Bangalore,07/05/17,RCB,KKR,KKR,field,normal,0,KKR,0,6,Sunil Narine,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,AY Dandekar,C Shamshuddin
2017_46,2017,Chandigarh,07/05/17,KXI,GL,GL,field,normal,0,GL,0,6,Dwayne Smith,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,A Nand Kishore,VK Sharma
2017_47,2017,Hyderabad,08/05/17,MI,SRH,MI,bat,normal,0,SRH,0,7,Shikhar Dhawan,"Rajiv Gandhi International Stadium, Hyderabad",4,KN Ananthapadmanabhan,M Erasmus
2017_48,2017,Chandigarh,09/05/17,KXI,KKR,KKR,field,normal,0,KXI,14,0,Mohit Sharma,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,A Nand Kishore,S Ravi
2017_49,2017,Kanpur,10/05/17,GL,DD,DD,field,normal,0,DD,0,2,Shreyas Iyer,Green Park,34,YC Barde,AK Chaudhary
2017_50,2017,Mumbai,11/05/17,KXI,MI,MI,field,normal,0,KXI,7,0,Wriddhiman Saha,"Wankhede Stadium, Mumbai, Maharashtra",1,A Deshmukh,A Nand Kishore
2017_51,2017,Delhi,12/05/17,DD,RPS,DD,bat,normal,0,DD,7,0,Karun Nair,"Feroz Shah Kotla Stadium, Delhi",2,KN Ananthapadmanabhan,CK Nandan
2017_52,2017,Kanpur,13/05/17,GL,SRH,SRH,field,normal,0,SRH,0,8,Mohammed Siraj,Green Park,34,AK Chaudhary,Nitin Menon
2017_53,2017,Kolkata,13/05/17,MI,KKR,KKR,field,normal,0,MI,9,0,Ambati Rayudu,"Eden Garden Stadium, Kolkata, West Bengal",3,A Nand Kishore,S Ravi
2017_54,2017,Pune,14/05/17,KXI,RPS,RPS,field,normal,0,RPS,0,9,Jaydev Unadkat,Maharashtra Cricket Association Stadium,32,AY Dandekar,A Deshmukh
2017_55,2017,Delhi,14/05/17,RCB,DD,RCB,bat,normal,0,RCB,10,0,Harshal Patel,"Feroz Shah Kotla Stadium, Delhi",2,CK Nandan,C Shamshuddin
2017_56,2017,Mumbai,16/05/17,RPS,MI,MI,field,normal,0,RPS,20,0,Washington Sunder,"Wankhede Stadium, Mumbai, Maharashtra",1,S Ravi,C Shamshuddin
2017_57,2017,Bangalore,17/05/17,SRH,KKR,KKR,field,normal,1,KKR,0,7,Nathan Coulter-Nile,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,AK Chaudhary,Nitin Menon
2017_58,2017,Bangalore,19/05/17,KKR,MI,MI,field,normal,0,MI,0,6,Karn Sharma,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,NJ Llong,Nitin Menon
2017_59,2017,Hyderabad,21/05/17,MI,RPS,MI,bat,normal,0,MI,1,0,Krunal Pandya,"Rajiv Gandhi International Stadium, Hyderabad",4,NJ Llong,S Ravi
