match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,venue_id,umpire1,umpire2
2011_43,2011,Mumbai,04/05/11,MI,PW,PW,field,normal,0,MI,21,0,Rahul Sharma,Dr DY Patil Sports Academy,10,HDPK Dharmasena,SJA Taufel
2011_44,2011,Kochi,05/05/11,KTK,KKR,KKR,field,normal,0,KTK,17,0,Brad Hodge,Nehru Stadium,24,S Ravi,RJ Tucker
2011_45,2011,Hyderabad,05/05/11,DC,DD,DD,field,normal,0,DD,0,4,Virender Sehwag,"Rajiv Gandhi International Stadium, Hyderabad",4,Asad Rauf,AM Saheba
2011_46,2011,Bangalore,06/05/11,RCB,KXI,KXI,field,normal,0,RCB,85,0,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,Aleem Dar,RB Tiffin
2011_47,2011,Kolkata,07/05/11,CSK,KKR,CSK,bat,normal,1,KKR,10,0,Iqbal Abdulla,"Eden Garden Stadium, Kolkata, West Bengal",3,Asad Rauf,PR Reiffel
2011_48,2011,Mumbai,07/05/11,MI,DD,DD,field,normal,0,MI,32,0,Ambati Rayudu,"Wankhede Stadium, Mumbai, Maharashtra",1,K Hariharan,SJA Taufel
2011_49,2011,Bangalore,08/05/11,KTK,RCB,KTK,bat,normal,0,RCB,0,9,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,Aleem Dar,SS Hazare
2011_50,2011,Chandigarh,08/05/11,KXI,PW,KXI,bat,normal,0,PW,0,5,Rahul Sharma,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,SK Tarapore,RJ Tucker
2011_51,2011,Jaipur,09/05/11,CSK,RR,RR,field,normal,0,CSK,63,0,Murali Vijay,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,K Hariharan,SJA Taufel
2011_52,2011,Hyderabad,10/05/11,DC,PW,DC,bat,normal,0,PW,0,6,Mitchell Marsh,"Rajiv Gandhi International Stadium, Hyderabad",4,Asad Rauf,AM Saheba
2011_53,2011,Chandigarh,10/05/11,KXI,MI,MI,field,normal,0,KXI,76,0,Bhargav Bhatt,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,SK Tarapore,RJ Tucker
2011_54,2011,Jaipur,11/05/11,RR,RCB,RCB,field,normal,0,RCB,0,9,Sreenath Aravind,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,HDPK Dharmasena,K Hariharan
2011_55,2011,Chennai,12/05/11,CSK,DD,CSK,bat,normal,0,CSK,18,0,Mahendra Singh Dhoni,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,AM Saheba,SL Shastri
2011_56,2011,Indore,13/05/11,KTK,KXI,KXI,field,normal,0,KXI,0,6,Dinesh Karthik,"Holkar Stadium Cricket Stadium, Indore, Madhya Pradesh",8,S Asnani,RJ Tucker
